runtime_file,runtime_sha256,dimensions,format,approved_file,manifest_asset_id,source,derivative_notes,image2_record,visual_qa,manifest_exclusion_reason,release_authorization
public/apple-touch-icon.png,13df5c977b32f97f16c33239c3ce88824d82f632a98c2a5c2d712f54e636291d,180x180,PNG,assets/approved/production/apple-touch-icon.png,MEDIA-my-sgg-apple-touch-icon-v004,assets/candidates/favicon/fav-01.png; Image 2.0 favicon lot delivery derivative,Purpose-built Image 2.0 icon resized to the 180px Apple touch delivery size,assets/candidates/favicon/fav-01.provenance.json,PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/bg-zipangu-dusk.png,277979e3a76b42c0738c03af01521a3cd47a191821267279e001e69cd5fe55ee,2400x1028,PNG,assets/approved/production/dashboard-art/bg-zipangu-dusk.png,MEDIA-my-sgg-bg-zipangu-dusk-v001,Image 2.0 batch-03 (scripts/creative-pipeline/batch-03-world-and-swarm.json),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-bg-zipangu-dusk-v001,Image 2.0 batch-03 (scripts/creative-pipeline/batch-03-world-and-swarm.json),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/brand/sgg-mark-v002.png,d3bebff58d80cf7c33e22c5e60e3a6a85ce878600fa682f90e6268facde9d199,512x512,PNG,assets/approved/production/dashboard-art/brand/sgg-mark-v002.png,MEDIA-my-sgg-brand-mark-v002,assets/candidates/brand-v002/PRODUCTION_RECORD.json,Purpose-built Image 2.0 celestial-ring composition; chroma removed and resized for UI delivery,assets/candidates/brand-v002/PRODUCTION_RECORD.json,PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/cards/card-01.png,a7e8788dccbc05b52838000ef0033d636fffbdb6039f1ebd5bc91a25fa4ed50a,720x405,PNG,assets/approved/production/dashboard-art/cards/card-01.png,MEDIA-my-sgg-card-01-v001,Image 2.0 via Codex generated store (A-ebisu-taimaru-incarnate),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-card-01-v001,Image 2.0 via Codex generated store (A-ebisu-taimaru-incarnate),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/cards/card-02.png,86eb423d2e59cd903f471f88276096d46376e5d8cd66a0d294f4320c0558372c,720x405,PNG,assets/approved/production/dashboard-art/cards/card-02.png,MEDIA-my-sgg-card-02-v001,Image 2.0 via Codex generated store (B-sobi-momokatsu-doji),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-card-02-v001,Image 2.0 via Codex generated store (B-sobi-momokatsu-doji),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/cards/card-03.png,7e191f550dd5976e41e7974004188cac72f55c03da3cd3168e891c221b966958,720x405,PNG,assets/approved/production/dashboard-art/cards/card-03.png,MEDIA-my-sgg-card-03-v001,Image 2.0 via Codex generated store (C-saika-kotone-spirit),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-card-03-v001,Image 2.0 via Codex generated store (C-saika-kotone-spirit),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/cards/card-04.png,cf324f48675c0994f6b8956ab0e82823a26759dc1ecb1b767f182e7d77eb2140,720x405,PNG,assets/approved/production/dashboard-art/cards/card-04.png,MEDIA-my-sgg-card-04-v001,Image 2.0 via Codex generated store (D-juraku-juka-incarnate),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-card-04-v001,Image 2.0 via Codex generated store (D-juraku-juka-incarnate),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/cards/card-05.png,8a698af82112524d718c7fcd3044ce6adab42197eeb9465d5d5af8df96548f26,720x405,PNG,assets/approved/production/dashboard-art/cards/card-05.png,MEDIA-my-sgg-card-05-v001,Image 2.0 via Codex generated store (E2-shouren-shofuku-doji),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-card-05-v001,Image 2.0 via Codex generated store (E2-shouren-shofuku-doji),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/cards/faces/haku-doji.png,dbb698a53679b12188ab425d09e46c78a9014aa2a4ba444a97eb3748cf136b97,640x640,PNG,assets/approved/production/dashboard-art/cards/faces/haku-doji.png,MEDIA-my-sgg-cardface-haku-doji-v001,Image 2.0 batch-01 (scripts/creative-pipeline/batch-01-cardfaces.json),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-cardface-haku-doji-v001,Image 2.0 batch-01 (scripts/creative-pipeline/batch-01-cardfaces.json),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/cards/faces/haku-incarnate.png,46a260dc65a879ccdf6ef5a2a3510219dd312e3d42837af69866fa2c602845ff,640x640,PNG,assets/approved/production/dashboard-art/cards/faces/haku-incarnate.png,MEDIA-my-sgg-cardface-haku-incarnate-v001,Image 2.0 batch-01 (scripts/creative-pipeline/batch-01-cardfaces.json),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-cardface-haku-incarnate-v001,Image 2.0 batch-01 (scripts/creative-pipeline/batch-01-cardfaces.json),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/cards/faces/haku-spirit.png,8b46388663d014c231bfeaa665c9d87395f4bcdb05a764a7eaf5d4898b79b660,640x640,PNG,assets/approved/production/dashboard-art/cards/faces/haku-spirit.png,MEDIA-my-sgg-cardface-haku-spirit-v001,Image 2.0 batch-01 (scripts/creative-pipeline/batch-01-cardfaces.json),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-cardface-haku-spirit-v001,Image 2.0 batch-01 (scripts/creative-pipeline/batch-01-cardfaces.json),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
public/dashboard-art/cards/faces/juka-doji.png,9e54f3147430daa0f099dec3ff78a250b3bd447d4fabf5908983396c785c01b7,640x640,PNG,assets/approved/production/dashboard-art/cards/faces/juka-doji.png,MEDIA-my-sgg-cardface-juka-doji-v001,Image 2.0 batch-01 (scripts/creative-pipeline/batch-01-cardfaces.json),Exact runtime binary carried forward from legacy registry asset MEDIA-my-sgg-cardface-juka-doji-v001,Image 2.0 batch-01 (scripts/creative-pipeline/batch-01-cardfaces.json),PIL decode verified; current visual identity/form audit passed where characters are present,,SGG project owner explicit public production publication instruction on 2026-08-19
