assetOrSceneId,characterId,form,channel,role,durationOrWeight,approvalStatus,exceptionId
MEDIA-my-sgg-home-hero-01-v001,taimaru,DOJI,UI,hero-pair-candidate,1,CANDIDATE,
MEDIA-my-sgg-home-hero-02-v001,kozuchi,INCARNATE,UI,hero-pair-candidate,1,CANDIDATE,
MEDIA-my-sgg-home-hero-03-v001,momokatsu,SPIRIT,UI,hero-pair-candidate,1,CANDIDATE,
MEDIA-my-sgg-home-hero-04-v001,kotone,DOJI,UI,hero-pair-candidate,1,CANDIDATE,
MEDIA-my-sgg-home-hero-05-v001,juka,INCARNATE,UI,hero-pair-candidate,1,CANDIDATE,
MEDIA-my-sgg-home-hero-06-v001,haku,SPIRIT,UI,hero-pair-candidate,1,CANDIDATE,
MEDIA-my-sgg-home-hero-07-v001,shofuku,DOJI,UI,hero-pair-candidate,1,CANDIDATE,
MEDIA-my-sgg-home-hero-08-v001,taimaru,SPIRIT,UI,hero-pair-candidate,1,CANDIDATE,
MEDIA-my-sgg-home-hero-09-v001,kotone,INCARNATE,UI,hero-pair-candidate,1,CANDIDATE,
MEDIA-my-sgg-home-hero-10-v001,momokatsu,DOJI,UI,hero-pair-candidate,1,CANDIDATE,
